Dist Code,Year,State Code,State Name,Dist Name,PADDY,SORGHUM,MAIZE,FINGER MILLET,CHICKPEA,PIGEONPEA,GROUNDNUT,Inflation Index
1013,1998,5,Karnataka,Gadag,,,,,,,,99.99999999999999
1013,1999,5,Karnataka,Gadag,,1547.357934976781,,,2351.9840611647073,,2104.4067915684222,100.00000000000001
1013,2000,5,Karnataka,Gadag,,1192.5416550494658,,,2362.018392701843,,2147.600086528909,100.0
1013,2001,5,Karnataka,Gadag,,887.0857920258467,781.4803405941983,,2393.1819993664326,1814.789065371558,2206.3415852950548,100.0
1013,2002,5,Karnataka,Gadag,,889.4551348068549,823.1820071153637,,2264.067615871994,1965.997089412656,2955.3375602138635,100.00000000000001
1013,2003,5,Karnataka,Gadag,,1061.2666974830515,839.0780952865999,,2024.6861108009991,2063.072353050386,2444.6767612942917,100.0
1013,2004,5,Karnataka,Gadag,,780.8670144267282,841.0206036031815,,2312.4771801558263,2119.4961820154053,2181.6266497093943,100.0
1013,2005,5,Karnataka,Gadag,,638.2475371936184,858.8562400707332,,2615.7759999209093,1848.343186267719,2136.9774228329857,100.0
1013,2006,5,Karnataka,Gadag,772.1229433036547,810.537020084931,860.4753199005903,818.2198354411863,2846.4830894925776,1619.7935709438195,2133.26173058688,100.0
1013,2007,5,Karnataka,Gadag,461.0157440439096,1059.8483639527974,846.4151491176541,869.5878981568983,2308.7375753310075,2090.4258870139183,2874.640499236759,100.0
1013,2008,5,Karnataka,Gadag,963.2948632778914,854.5176784839967,870.2174783511568,954.3235490680856,2171.058038772989,3340.6931288764126,2532.15343571767,100.0
1013,2009,5,Karnataka,Gadag,1053.9803168135004,1127.3864303545654,1101.091703115975,986.0522714471417,1973.2001565292246,4774.684221074048,2772.9981100363507,100.0
1013,2010,5,Karnataka,Gadag,962.0,2144.0,858.0,900.0,2157.0,4883.333333333333,3156.0,100.0
1013,2011,5,Karnataka,Gadag,878.7751334758032,1568.4583203513037,859.5918925163521,822.1388982621859,3135.0896653731356,4940.750282667493,3387.212260840206,100.00000000000001
1013,2012,5,Karnataka,Gadag,818.9183221489294,1098.1337168109344,1059.8267266896228,766.1398024262332,2781.087482807227,5051.4150973302985,3517.432959583551,99.99999999999999
1013,2013,5,Karnataka,Gadag,776.8578541652217,1139.4453557454551,1028.0042082664525,726.7900922543655,2173.1023758405527,5216.199410261146,2703.6591431862394,100.0
1013,2014,5,Karnataka,Gadag,751.6524058489377,1197.0181764662916,851.6643683735365,703.2091115010852,2651.0983503590915,5457.42360088657,2799.5536072315426,100.0
1013,2015,5,Karnataka,Gadag,782.079539985042,1280.0251930420463,1073.1236931187686,731.6752453082513,3551.06385722938,6105.423435849964,3735.608613546017,100.0
1013,2016,5,Karnataka,Gadag,782.493213927244,1315.271857505565,1361.6358005345182,732.0622583518915,4385.05292752783,6108.652844691895,3615.574153749064,100.0
