Crop,Area (1000 ha),Production (1000 tons),Yield (tons/ha),Price (Rs/quintal),Value (Rs)
Castor,13.446000000000002,10.008,0.7104800430851556,2891.468253968254,290965297.6190476
Chickpea,1000.2810000000002,596.882,0.5982112614327749,3196.681481481481,17862545971.190475
Cotton kapas,,,,3991.246130952381,
Finger millet,718.546,1206.946,1.6643333605721746,1402.592261904762,14710713000.248016
Groundnut,689.025,497.855,0.7346107687924344,3458.6014590347927,16476556203.950615
Linseed,7.348999999999999,2.052,0.254222244724138,6776.5,34789966.666666664
Maize,1287.982,3869.2949999999996,2.9972472903350087,1147.2024284357617,42300532625.06444
Paddy,,,,1288.3828159494826,
Pearl millet,259.515,252.25,0.9751061762881725,1098.4444444444443,2661967312.2222223
Pigeonpea,782.758,546.495,0.6633230855339358,4049.4523809523807,20747335241.26984
Seasmum,,,,5748.599735449735,
Sorghum,1172.4060000000002,1212.4299999999998,1.0316200970798506,1790.1176785714288,20913658880.291668
Sugarcane gur,,,,150.0,
Wheat,208.68400000000003,207.877,1.0009778926050532,1780.6314814814816,3631978492.2222223
